Date,PPID,ANGSTIG_P,BEDROEFD_P,BOOS_P,DEPRESSIEF_P,EENZAAM_P,GEGENEERD_P,GEÏRRITEERD_P,ONGELUKKIG_P,ONGERUST_P,RAZEND_P,BESCHAAMD_P,SCHULDIG_P,SPIJTIG_P,BANG_P,WALGELIJK_P,ZENUWACHTIG_P,ANGSTIG_1.3,BEDROEFD_1.3,BOOS_1.3,DEPRESSIEF_1.3,EENZAAM_1.3,GEGENEERD_1.3,GEÏRRITEERD_1.3,ONGELUKKIG_1.3,ONGERUST_1.3,RAZEND_1.3,BESCHAAMD_1.3,SCHULDIG_1.3,SPIJTIG_1.3,BANG_1.3,WALGELIJK_1.3,ZENUWACHTIG_1.3,ANGSTIG_2.1,BEDROEFD_2.1,BOOS_2.1,DEPRESSIEF_2.1,EENZAAM_2.1,GEGENEERD_2.1,GEÏRRITEERD_2.1,ONGELUKKIG_2.1,ONGERUST_2.1,RAZEND_2.1,BESCHAAMD_2.1,SCHULDIG_2.1,SPIJTIG_2.1,BANG_2.1,WALGELIJK_2.1,ZENUWACHTIG_2.1,ANGSTIG_2.2,BEDROEFD_2.2,BOOS_2.2,DEPRESSIEF_2.2,EENZAAM_2.2,GEGENEERD_2.2,GEÏRRITEERD_2.2,ONGELUKKIG_2.2,ONGERUST_2.2,RAZEND_2.2,BESCHAAMD_2.2,SCHULDIG_2.2,SPIJTIG_2.2,BANG_2.2,WALGELIJK_2.2,ZENUWACHTIG_2.2,ANGSTIG_2.3,BEDROEFD_2.3,BOOS_2.3,DEPRESSIEF_2.3,EENZAAM_2.3,GEGENEERD_2.3,GEÏRRITEERD_2.3,ONGELUKKIG_2.3,ONGERUST_2.3,RAZEND_2.3,BESCHAAMD_2.3,SCHULDIG_2.3,SPIJTIG_2.3,BANG_2.3,WALGELIJK_2.3,ZENUWACHTIG_2.3,ANGSTIG_3.1,BEDROEFD_3.1,BOOS_3.1,DEPRESSIEF_3.1,EENZAAM_3.1,GEGENEERD_3.1,GEÏRRITEERD_3.1,ONGELUKKIG_3.1,ONGERUST_3.1,RAZEND_3.1,BESCHAAMD_3.1,SCHULDIG_3.1,SPIJTIG_3.1,BANG_3.1,WALGELIJK_3.1,ZENUWACHTIG_3.1,ANGSTIG_3.2,BEDROEFD_3.2,BOOS_3.2,DEPRESSIEF_3.2,EENZAAM_3.2,GEGENEERD_3.2,GEÏRRITEERD_3.2,ONGELUKKIG_3.2,ONGERUST_3.2,RAZEND_3.2,BESCHAAMD_3.2,SCHULDIG_3.2,SPIJTIG_3.2,BANG_3.2,WALGELIJK_3.2,ZENUWACHTIG_3.2,ANGSTIG_3.3,BEDROEFD_3.3,BOOS_3.3,DEPRESSIEF_3.3,EENZAAM_3.3,GEGENEERD_3.3,GEÏRRITEERD_3.3,ONGELUKKIG_3.3,ONGERUST_3.3,RAZEND_3.3,BESCHAAMD_3.3,SCHULDIG_3.3,SPIJTIG_3.3,BANG_3.3,WALGELIJK_3.3,ZENUWACHTIG_3.3,ANGSTIG_4.2,BEDROEFD_4.2,BOOS_4.2,DEPRESSIEF_4.2,EENZAAM_4.2,GEGENEERD_4.2,GEÏRRITEERD_4.2,ONGELUKKIG_4.2,ONGERUST_4.2,RAZEND_4.2,BESCHAAMD_4.2,SCHULDIG_4.2,SPIJTIG_4.2,BANG_4.2,WALGELIJK_4.2,ZENUWACHTIG_4.2,ANGSTIG_4.3,BEDROEFD_4.3,BOOS_4.3,DEPRESSIEF_4.3,EENZAAM_4.3,GEGENEERD_4.3,GEÏRRITEERD_4.3,ONGELUKKIG_4.3,ONGERUST_4.3,RAZEND_4.3,BESCHAAMD_4.3,SCHULDIG_4.3,SPIJTIG_4.3,BANG_4.3,WALGELIJK_4.3,ZENUWACHTIG_4.3,ANGSTIG_5.1,BEDROEFD_5.1,BOOS_5.1,DEPRESSIEF_5.1,EENZAAM_5.1,GEGENEERD_5.1,GEÏRRITEERD_5.1,ONGELUKKIG_5.1,ONGERUST_5.1,RAZEND_5.1,BESCHAAMD_5.1,SCHULDIG_5.1,SPIJTIG_5.1,BANG_5.1,WALGELIJK_5.1,ZENUWACHTIG_5.1,ANGSTIG_5.2,BEDROEFD_5.2,BOOS_5.2,DEPRESSIEF_5.2,EENZAAM_5.2,GEGENEERD_5.2,GEÏRRITEERD_5.2,ONGELUKKIG_5.2,ONGERUST_5.2,RAZEND_5.2,BESCHAAMD_5.2,SCHULDIG_5.2,SPIJTIG_5.2,BANG_5.2,WALGELIJK_5.2,ZENUWACHTIG_5.2,ANGSTIG_5.3,BEDROEFD_5.3,BOOS_5.3,DEPRESSIEF_5.3,EENZAAM_5.3,GEGENEERD_5.3,GEÏRRITEERD_5.3,ONGELUKKIG_5.3,ONGERUST_5.3,RAZEND_5.3,BESCHAAMD_5.3,SCHULDIG_5.3,SPIJTIG_5.3,BANG_5.3,WALGELIJK_5.3,ZENUWACHTIG_5.3,ANGSTIG_6.2,BEDROEFD_6.2,BOOS_6.2,DEPRESSIEF_6.2,EENZAAM_6.2,GEGENEERD_6.2,GEÏRRITEERD_6.2,ONGELUKKIG_6.2,ONGERUST_6.2,RAZEND_6.2,BESCHAAMD_6.2,SCHULDIG_6.2,SPIJTIG_6.2,BANG_6.2,WALGELIJK_6.2,ZENUWACHTIG_6.2,ANGSTIG_6.3,BEDROEFD_6.3,BOOS_6.3,DEPRESSIEF_6.3,EENZAAM_6.3,GEGENEERD_6.3,GEÏRRITEERD_6.3,ONGELUKKIG_6.3,ONGERUST_6.3,RAZEND_6.3,BESCHAAMD_6.3,SCHULDIG_6.3,SPIJTIG_6.3,BANG_6.3,WALGELIJK_6.3,ZENUWACHTIG_6.3,ANGSTIG_7.2,BEDROEFD_7.2,BOOS_7.2,DEPRESSIEF_7.2,EENZAAM_7.2,GEGENEERD_7.2,GEÏRRITEERD_7.2,ONGELUKKIG_7.2,ONGERUST_7.2,RAZEND_7.2,BESCHAAMD_7.2,SCHULDIG_7.2,SPIJTIG_7.2,BANG_7.2,WALGELIJK_7.2,ZENUWACHTIG_7.2,ANGSTIG_7.3,BEDROEFD_7.3,BOOS_7.3,DEPRESSIEF_7.3,EENZAAM_7.3,GEGENEERD_7.3,GEÏRRITEERD_7.3,ONGELUKKIG_7.3,ONGERUST_7.3,RAZEND_7.3,BESCHAAMD_7.3,SCHULDIG_7.3,SPIJTIG_7.3,BANG_7.3,WALGELIJK_7.3,ZENUWACHTIG_7.3
11/28/2023 14:10,!nrxy bwdq,6,0,0,0,0,1,3,3,5,0,0,0,0,6,6,6,6,2,2,1,0,0,3,0,4,2,0,0,2,5,1,4,2,4,1,3,1,2,2,4,4,1,2,2,2,3,0,1,3,0,3,1,0,0,5,1,4,1,0,0,1,3,3,3,3,0,4,0,0,1,3,2,4,3,1,0,2,3,0,1,3,5,3,3,0,3,4,4,4,2,3,3,4,1,1,2,0,4,3,3,3,0,2,4,5,3,1,2,4,2,0,2,2,3,3,2,1,0,1,3,3,0,0,2,4,4,1,1,4,4,4,2,0,2,2,4,6,4,0,3,4,4,0,3,2,5,2,5,0,0,2,6,2,1,0,0,6,2,0,2,3,0,3,0,0,0,5,2,2,2,0,0,1,4,3,3,2,6,5,4,2,0,2,6,3,3,2,0,6,3,0,2,6,0,2,0,0,0,3,2,4,0,0,0,1,6,4,5,2,3,1,2,0,1,2,2,4,0,0,0,2,2,0,2,5,2,1,0,0,0,2,4,3,1,0,0,2,5,0,3,2,1,3,1,0,4,4,2,4,3,1,0,3,1,6,1,3,1,0,1,0,0,1,2,4,0,0,0,1,1,0,2
12/1/2023 3:21,!dhod jqer,3,3,1,1,4,2,2,3,4,1,0,2,3,3,3,2,3,0,5,0,0,0,1,1,3,4,0,1,3,3,0,1,3,3,2,3,2,0,0,4,4,0,0,0,3,2,0,1,2,2,4,1,2,1,3,3,3,3,1,2,1,1,1,3,2,2,0,3,1,0,0,4,4,1,1,0,1,2,0,1,4,4,0,3,5,1,0,5,4,0,1,2,5,5,0,2,5,5,0,3,4,0,1,5,4,0,0,1,5,3,0,0,2,4,3,3,5,2,0,5,2,2,3,4,3,2,0,1,4,4,0,3,2,2,0,4,4,0,1,1,4,3,0,0,2,4,0,3,3,0,0,4,1,0,0,0,4,2,0,0,4,4,5,2,3,1,2,5,4,4,1,4,4,3,2,2,3,3,0,4,4,0,0,4,3,0,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,0,1,3,0,4,4,0,3,3,4,3,0,1,4,3,0,4,1,0,1,3,3,0,0,0,3,4,0,3,0,0,0,0,0,2,2,0,0,0,3,2,1,0,3,2,4,5,1,5,3,4,2,5,5,0,4,0,4,4,2,3
12/3/2023 12:50,!okaj ggye,6,0,0,0,0,0,0,1,5,0,0,0,0,6,6,6,6,0,0,0,0,0,0,1,6,0,0,0,0,6,2,6,0,5,0,1,1,2,0,3,4,0,3,2,2,1,0,0,2,0,0,0,0,2,3,1,3,0,1,0,0,4,0,5,0,2,1,0,0,1,2,3,2,0,1,0,1,0,0,0,0,4,3,1,1,1,0,3,3,0,3,3,4,0,0,0,0,6,2,3,1,1,0,5,6,1,2,3,4,1,0,1,1,3,1,1,0,1,0,0,0,0,2,2,3,0,0,0,5,6,6,5,1,2,3,6,6,6,5,5,6,4,6,4,1,5,0,2,1,0,0,4,1,0,0,0,5,0,0,0,2,1,5,0,0,0,0,0,4,1,0,0,0,3,1,5,0,6,2,3,3,2,0,4,5,1,0,1,5,3,0,2,5,0,0,0,0,0,1,1,5,0,0,0,0,6,3,6,3,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,3,0,0,0,1,2,0,3,0,0,3,0,0,3,5,0,1,2,0,0,0,0,6,1,1,3,0,0,0,0,0,3,4,0,0,0,1,1,0,2
12/3/2023 13:12,!vmzz zwoh,3,1,0,1,1,2,2,1,3,0,0,0,0,2,3,2,3,0,0,1,0,0,1,2,3,0,0,0,0,3,0,2,1,3,0,2,3,0,0,1,2,0,1,1,3,0,0,0,1,0,0,1,1,0,2,1,2,2,0,0,0,1,0,2,3,3,0,0,2,0,1,2,2,0,1,0,0,1,0,1,1,2,0,2,3,0,0,2,2,1,0,1,3,1,0,0,1,2,0,2,0,0,1,2,1,0,1,0,0,1,0,1,1,2,0,3,3,0,1,1,1,0,1,1,2,1,0,2,3,1,0,2,3,0,1,2,2,0,1,1,0,2,0,0,1,2,0,2,2,0,0,3,0,1,0,0,1,2,0,0,2,1,0,1,0,0,2,0,2,1,0,0,0,1,0,2,3,4,0,2,2,0,1,3,3,0,0,0,2,2,1,1,2,1,1,0,0,0,2,0,1,1,0,0,0,2,2,2,2,3,0,2,3,0,1,2,1,0,0,0,1,1,0,0,3,1,0,1,1,0,1,0,3,1,0,1,0,3,0,3,0,0,0,1,0,3,0,2,0,0,2,1,0,0,4,2,1,1,0,1,1,1,1,2,2,0,0,0,0,0,0,1
12/4/2023 11:20,!akzm nrbp,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,4,0,1,2,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,2,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,3,3,0,0,0,2,0,0,0,1,3,0,1,2,0,0,3,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,2,0,3,3,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,4,1,0,2,0,0,2,0,0,2,1,1,1,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12/4/2023 13:49,!rqta gwun,1,2,3,0,0,0,0,1,3,0,1,0,1,1,0,2,4,0,0,0,0,0,0,1,3,0,0,0,0,4,0,3,0,2,0,1,1,0,0,3,1,0,0,1,0,0,0,0,2,0,3,0,0,2,4,1,1,1,0,0,0,1,1,3,0,0,0,0,0,0,5,0,3,1,3,0,0,1,0,2,1,2,1,3,4,0,2,4,4,1,0,2,1,1,0,1,0,6,0,4,3,0,0,6,3,0,0,0,1,0,0,0,0,2,0,1,4,0,0,4,2,2,0,1,3,1,0,0,6,6,4,4,3,1,0,5,6,3,0,3,3,5,0,3,0,4,0,4,3,0,0,3,2,0,0,1,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,3,0,3,0,5,0,4,2,0,0,5,3,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,4,0,0,1,1,0,0,0,4,3,3,3,3,2,2,4,6,3,4,2,2,4,4,4,0,6,6,0,0,0,6,6,0,6,0,0,0,2,6,0,1,1,0,0,0,0,3,2,4,0,0,0,0,0,0,2
12/6/2023 2:40,!mvdr evkz,1,3,2,4,4,0,0,0,2,0,0,0,0,1,3,3,2,0,0,0,0,0,2,0,1,1,0,0,0,3,0,2,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,4,4,0,2,1,0,0,2,0,0,1,0,0,0,0,0,3,3,0,3,0,3,0,3,1,0,0,0,3,0,0,2,0,0,1,3,0,0,2,4,0,0,0,0,4,0,3,3,0,0,4,3,0,0,3,3,0,0,0,1,3,0,2,3,0,0,2,4,0,0,4,3,1,0,2,2,4,0,4,4,0,0,3,4,0,0,2,3,0,0,1,2,4,0,3,4,0,0,2,3,0,0,1,3,1,0,1,1,0,0,0,0,5,5,0,0,0,1,0,0,1,0,2,0,6,0,3,5,0,0,4,4,0,0,1,6,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,0,1,3,0,0,1,3,0,1,3,0,0,0,0,3,5,5,0,1,3,3,0,4,4,5,5,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,6,3,0,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0
12/6/2023 10:33,!rsbo tsca,5,5,5,1,5,3,3,5,5,5,1,0,5,5,6,5,0,0,6,1,0,1,6,0,1,5,0,5,0,0,6,4,4,4,0,2,4,1,2,4,5,0,0,0,0,5,0,3,1,1,6,0,5,0,5,5,0,5,0,4,2,1,5,4,5,5,2,2,6,1,5,3,1,5,0,1,1,6,2,5,5,5,1,5,5,5,0,5,5,1,5,1,3,5,1,5,4,6,0,5,6,3,0,5,5,0,3,1,3,5,0,1,0,0,1,0,5,4,4,5,1,1,0,6,2,1,5,1,6,6,0,2,6,2,1,4,4,0,6,0,4,6,0,2,3,6,3,5,5,0,0,5,5,0,0,0,5,5,0,0,0,1,5,1,1,1,6,1,1,5,1,5,0,1,5,4,5,6,0,3,6,1,0,4,6,0,1,0,6,5,0,1,5,2,5,0,4,1,5,5,5,5,0,1,1,5,4,5,5,5,0,5,5,0,5,6,5,0,5,0,5,5,0,0,4,1,2,0,0,1,4,1,0,5,0,1,6,4,3,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,4,3,3,3,1,4,0,3,0,3,1,0,4
12/6/2023 10:37,!srjx odav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0,0,0,1,0,0,0,0,4,2,0,0,1,3,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,2,2,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
12/6/2023 15:20,!hvce wpnv,5,0,0,0,3,1,2,0,3,0,1,1,0,2,5,4,6,0,6,3,4,2,6,4,6,4,1,3,1,6,5,6,4,4,1,6,4,1,0,6,4,0,2,0,4,3,0,1,5,2,4,2,4,2,3,4,4,3,3,2,0,5,2,4,4,4,6,2,3,3,3,5,3,5,3,2,2,2,0,4,0,4,1,4,4,1,0,3,3,0,2,0,4,0,0,0,3,6,0,4,4,2,0,5,4,0,2,2,4,1,0,3,4,3,2,1,5,3,2,4,3,2,5,4,2,4,2,6,6,6,4,4,6,3,1,4,6,0,4,2,4,4,0,3,3,4,0,3,1,1,0,5,5,0,0,2,5,3,0,2,5,2,3,2,5,3,4,5,6,4,3,4,0,6,3,6,3,5,0,4,4,0,0,4,6,0,0,0,5,3,0,3,6,2,3,0,3,2,5,1,6,4,1,0,0,6,5,6,3,5,1,1,2,4,0,3,5,1,2,2,4,4,0,2,6,4,5,6,3,1,5,4,6,5,0,1,4,6,2,6,4,4,5,4,4,6,5,5,4,5,6,3,4,2,6,4,3,4,2,4,3,3,2,5,4,0,3,1,4,3,0,2
11/28/2023 15:39,!dnjs bydg,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,4,6,0,1,0,6,1,6,6,0,1,6,2,6,4,2,1,0,0,0,0,0,1,1,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,6,2,0,6,0,0,1,2,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1
12/7/2023 10:53,!fqbj oohb,4,0,1,1,0,1,0,3,3,2,1,1,1,4,5,3,4,1,4,0,0,1,1,1,3,4,0,0,0,4,1,3,3,4,1,1,2,2,1,5,3,1,1,4,3,3,0,2,4,2,5,1,2,2,1,2,4,6,2,3,1,2,1,3,3,2,5,1,3,1,1,4,4,5,1,1,2,2,1,2,4,3,4,4,1,2,1,4,4,0,1,1,4,4,1,4,4,5,2,5,3,1,2,5,4,1,1,1,2,1,1,1,2,4,1,4,4,1,1,4,4,1,1,3,1,3,1,3,4,5,2,5,5,1,1,4,4,2,1,1,4,4,1,2,3,5,2,4,4,1,1,4,4,1,1,2,4,3,1,3,2,1,5,1,2,2,4,4,4,5,1,1,1,2,1,4,5,5,2,4,5,1,1,5,4,2,2,2,4,5,1,2,5,2,3,1,1,0,0,1,4,2,1,2,1,2,4,3,5,5,2,4,3,1,1,5,3,1,1,3,3,5,1,4,5,1,1,1,2,1,3,1,5,1,1,1,1,5,1,4,2,2,3,3,1,3,3,2,3,2,4,2,3,2,5,2,4,1,1,3,2,1,2,2,5,2,2,1,4,4,1,2
12/7/2023 14:40,!kcef xfaj,1,0,0,0,0,0,0,0,1,0,1,0,1,1,4,5,6,6,6,4,5,1,5,6,6,6,5,6,6,6,6,6,1,5,0,5,5,0,2,5,5,0,4,0,5,1,0,2,1,4,6,2,2,4,4,4,5,6,5,5,3,2,4,4,3,4,6,4,5,2,6,6,3,5,2,2,4,4,4,5,4,4,5,1,0,3,5,3,4,4,0,3,2,1,0,5,4,5,1,4,4,5,2,4,3,1,4,3,5,4,1,0,0,3,2,1,4,2,1,3,0,2,4,6,6,0,1,0,5,4,3,3,3,1,2,4,3,4,3,2,5,6,3,2,3,6,4,6,4,0,1,6,3,0,0,3,5,4,0,0,2,5,6,2,3,1,6,4,4,6,3,4,4,1,3,4,6,6,4,6,4,0,3,6,6,4,0,1,6,6,0,2,4,1,6,4,1,0,6,6,5,5,0,3,4,5,6,6,6,6,4,5,2,1,3,6,6,3,2,4,5,6,3,6,5,5,5,2,1,0,1,4,6,5,1,4,6,6,0,4,5,5,5,4,0,6,5,4,3,6,4,5,6,4,6,5,5,6,6,5,1,1,4,6,5,3,1,5,5,2,5,5
12/7/2023 15:10,!gqbb eprv,0,0,0,3,4,0,0,1,3,0,0,0,0,0,0,1,4,0,5,0,0,0,0,0,2,5,0,0,0,5,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,2,0,0,0,0,5,0,1,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,0,0,1,2,0,2,6,1,0,4,2,0,1,0,2,4,0,0,0,6,0,5,3,0,0,4,0,0,0,0,6,0,0,0,0,0,6,0,0,0,4,0,0,4,0,1,0,0,1,0,2,6,0,6,6,0,0,6,1,0,0,0,6,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,2,4,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,0,0,0,2,0,0,0,1,0
12/8/2023 1:39,!mvqz ndps,5,0,0,0,0,0,0,0,6,0,0,0,0,4,3,4,4,0,0,0,0,0,0,0,3,0,0,0,0,6,0,4,0,5,0,0,3,0,0,2,3,0,0,0,6,0,0,0,0,0,4,0,0,4,0,0,0,0,5,0,0,2,2,4,0,0,1,0,0,0,3,0,4,0,0,0,0,0,1,2,0,2,0,0,2,4,0,3,4,0,6,5,3,2,0,0,3,4,0,0,2,3,5,5,4,0,0,6,3,1,0,1,0,2,2,0,5,0,0,3,4,0,3,5,4,0,0,2,6,6,1,1,4,2,0,5,6,0,0,5,4,5,0,6,4,3,0,0,2,0,0,2,0,0,0,0,5,4,0,0,1,0,0,0,0,4,4,1,0,0,2,0,0,2,0,4,3,5,0,0,4,0,0,4,1,0,0,0,5,4,0,0,3,0,0,0,0,0,3,1,3,0,0,0,0,5,5,3,4,4,4,3,0,6,0,4,4,0,2,5,4,0,0,0,5,4,0,0,0,0,0,2,3,0,0,0,3,5,0,2,0,0,6,0,0,0,6,0,0,5,3,0,0,0,6,3,0,3,0,3,0,0,0,1,2,0,0,0,4,0,0,4
12/8/2023 2:15,!tzbu qouc,3,1,1,5,0,4,0,4,5,0,1,1,0,4,6,4,4,0,3,0,3,0,0,1,4,2,0,2,0,3,0,4,2,2,0,0,2,2,0,2,1,0,0,1,2,1,1,2,4,2,4,4,1,1,3,5,4,2,2,4,4,4,3,4,5,3,4,2,4,0,0,4,5,4,0,0,0,3,0,5,3,4,0,3,5,2,0,4,5,0,2,3,3,4,0,4,2,5,0,5,5,0,0,5,5,0,0,4,5,3,0,4,4,3,5,4,4,5,3,4,3,5,5,5,2,1,0,3,6,5,2,5,4,0,0,5,5,1,3,5,5,5,0,5,5,4,0,4,4,0,0,5,5,0,0,2,5,1,0,4,4,2,4,1,1,4,0,4,4,3,0,5,0,5,0,1,5,4,2,5,4,0,0,5,4,2,1,4,5,6,0,4,4,0,0,1,3,0,0,3,5,0,0,2,1,4,2,5,5,5,0,4,5,0,0,5,5,0,1,2,4,4,0,1,5,0,0,2,2,0,0,3,5,0,0,0,0,4,0,4,5,5,0,1,1,2,5,6,5,1,1,1,4,4,6,5,4,4,0,3,3,2,0,4,5,0,1,0,2,3,0,4
12/9/2023 1:11,!twwr pgft,1,6,2,4,6,1,5,5,6,2,4,0,1,4,6,4,5,1,6,6,0,5,4,6,3,6,3,3,1,6,2,6,4,3,2,3,5,0,2,6,6,0,3,0,4,6,0,0,3,4,6,1,4,2,6,6,5,6,1,1,1,2,5,2,6,6,4,3,2,4,3,6,5,3,1,5,6,6,0,6,0,5,6,0,1,1,5,5,6,2,3,2,6,4,0,3,5,3,6,5,5,0,5,6,6,5,0,4,6,6,0,4,4,4,0,5,3,2,3,6,1,0,0,0,5,1,0,5,6,6,5,1,6,2,4,6,5,2,5,4,6,6,0,3,6,6,6,5,5,0,0,6,4,6,0,0,6,6,0,4,6,6,5,6,2,6,6,6,5,6,3,4,2,6,3,6,4,4,5,0,0,6,2,0,3,1,0,0,6,3,0,0,4,5,5,0,4,5,4,6,3,0,0,0,0,4,0,3,6,6,4,6,6,3,2,5,1,4,4,3,6,6,0,5,6,4,2,6,1,0,2,6,6,2,0,2,6,4,0,5,0,3,0,0,0,6,6,5,4,0,6,3,6,0,6,5,4,6,0,0,4,5,4,6,4,1,0,3,6,4,0,6
12/11/2023 1:12,!esdx yybj,6,4,2,5,6,5,3,6,5,0,4,4,4,5,0,4,6,1,5,0,2,0,6,3,6,5,1,1,0,6,0,5,4,5,0,4,6,4,3,6,5,0,3,3,4,5,0,2,4,1,6,3,3,3,6,5,4,6,2,1,1,4,0,5,4,2,6,3,2,1,5,5,4,6,2,2,2,3,0,3,4,4,2,2,3,3,1,4,5,0,1,1,5,2,0,0,6,6,2,5,4,5,3,6,4,0,1,2,4,6,0,3,6,4,3,4,6,5,2,4,6,2,5,5,5,3,0,5,5,6,1,4,6,5,3,5,5,0,5,3,4,5,0,1,4,6,1,4,3,1,3,5,4,0,1,0,6,4,0,4,4,3,6,1,0,0,6,3,5,6,2,3,4,4,3,5,5,6,2,2,5,1,2,5,5,0,1,1,5,5,1,3,4,2,4,0,2,0,4,2,5,0,0,0,1,5,3,5,5,5,0,1,4,2,0,5,6,0,1,2,4,5,0,6,6,0,5,0,2,0,4,5,6,0,0,0,2,6,0,6,4,6,5,0,2,0,6,3,3,5,5,5,5,3,6,5,5,6,2,5,5,4,4,6,6,0,2,3,5,4,0,3
12/8/2023 1:44,!xmkn zbur,0,0,0,0,0,3,0,0,3,0,1,0,0,1,5,1,2,0,1,0,1,1,4,0,5,1,0,0,0,2,2,2,2,3,0,0,2,2,2,1,1,1,1,1,2,1,0,2,4,0,2,0,3,5,5,1,5,2,1,2,3,3,1,3,5,3,2,3,5,3,1,2,5,1,2,1,5,2,0,5,2,2,1,0,3,4,4,2,3,1,4,3,4,3,0,4,3,1,0,0,2,4,1,0,6,0,1,2,4,1,0,4,2,1,2,0,3,3,5,1,3,2,2,1,4,1,1,3,4,4,2,1,5,4,5,4,6,2,5,3,6,5,1,3,0,4,0,2,4,2,0,2,0,0,0,0,3,1,0,2,2,1,3,0,3,2,5,1,2,1,1,2,1,2,0,4,3,5,1,2,4,3,1,2,3,0,1,1,4,4,1,3,2,0,3,0,3,3,4,0,3,2,0,0,1,3,5,3,3,3,1,0,2,4,1,1,5,0,2,3,5,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,5,1,3,6,6,1,1,3,5,1,4,2,6,5,5,1,1,0,3,4,1,1,6,1,2,2,3,3,0,3
